Stock,LTP,CronTime,CALLS_Chart,CALLS_OI,CALLS_Chng in OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Net Chng,CALLS_Bid Qty,CALLS_Bid Price,CALLS_Ask Price,CALLS_Ask Qty,Strike Price,PUTS_Bid Qty,PUTS_Bid Price,PUTS_Ask Price,PUTS_Ask Qty,PUTS_Net Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Chng in OI,PUTS_OI,PUTS_Chart,time_stamp
NIFTY,24366.4,17-Dec-2024 12:26:20,0,0,0,0,0.0,0.0,0.0,1000,2797.2,2972.4,1000,21600.0,1352400,0.45,0.5,742975,-0.04999999999999999,0.45,56.19,718248,-52919,168045,0,17-Dec-2024 12:26:20
NIFTY,24366.4,17-Dec-2024 12:26:20,0,3,0,0,0.0,0.0,0.0,1000,2645.05,2800.7,1000,21650.0,184850,0.5,0.55,85750,0.0,0.55,56.05,63717,-9443,47324,0,17-Dec-2024 12:26:20
NIFTY,24366.4,17-Dec-2024 12:26:20,0,3,0,0,0.0,0.0,0.0,1000,2650.7,2783.45,1000,21700.0,104650,0.5,0.55,258900,-0.050000000000000044,0.5,54.22,99507,-18425,25438,0,17-Dec-2024 12:26:20
NIFTY,24366.4,17-Dec-2024 12:26:20,0,0,0,0,0.0,0.0,0.0,1000,2631.15,2713.2,1000,21750.0,72725,0.5,0.55,59300,0.0,0.55,52.73,65551,-2850,9725,0,17-Dec-2024 12:26:20
NIFTY,24366.4,17-Dec-2024 12:26:20,0,0,0,0,0.0,0.0,0.0,1000,2575.0,2679.6,1000,21800.0,19425,0.5,0.55,66650,-0.04999999999999993,0.55,52.26,39903,-3135,14482,0,17-Dec-2024 12:26:20
NIFTY,24366.4,17-Dec-2024 12:26:20,0,0,0,0,0.0,0.0,0.0,1000,2441.65,2672.15,1000,21850.0,44625,0.5,0.55,76975,-0.09999999999999998,0.5,51.16,31270,-3428,5652,0,17-Dec-2024 12:26:20
NIFTY,24366.4,17-Dec-2024 12:26:20,0,0,0,0,0.0,0.0,0.0,1000,2416.6,2571.1,1000,21900.0,65925,0.5,0.55,57825,-0.09999999999999998,0.5,50.67,27692,-2871,6529,0,17-Dec-2024 12:26:20
NIFTY,24366.4,17-Dec-2024 12:26:20,0,0,0,0,0.0,0.0,0.0,1000,2443.25,2516.4,1000,21950.0,78325,0.5,0.55,73650,-0.04999999999999993,0.55,48.85,23852,-3448,7845,0,17-Dec-2024 12:26:20
NIFTY,24366.4,17-Dec-2024 12:26:20,0,27,0,0,0.0,0.0,0.0,25,2324.95,2432.9,25,22000.0,106225,0.55,0.6,82525,-0.050000000000000044,0.6,48.35,73464,-4754,51372,0,17-Dec-2024 12:26:20
NIFTY,24366.4,17-Dec-2024 12:26:20,0,0,0,0,0.0,0.0,0.0,1000,2339.35,2407.95,1000,22050.0,43800,0.5,0.55,9800,-0.09999999999999998,0.55,47.37,12324,-2620,9734,0,17-Dec-2024 12:26:20
NIFTY,24366.4,17-Dec-2024 12:26:20,0,24,-1,4,0.0,2290.0,-252.0,1000,2251.65,2315.55,1000,22100.0,18550,0.55,0.6,53625,-0.050000000000000044,0.6,46.77,26067,1515,8148,0,17-Dec-2024 12:26:20
NIFTY,24366.4,17-Dec-2024 12:26:20,0,0,0,0,0.0,0.0,0.0,1000,2238.85,2306.9,1000,22150.0,37100,0.55,0.6,69775,0.0,0.6,45.83,47289,3931,10486,0,17-Dec-2024 12:26:20
NIFTY,24366.4,17-Dec-2024 12:26:20,0,41,-1,3,84.45,2220.0,-250.0,50,2214.4,2262.1,1050,22200.0,45100,0.55,0.6,29825,-0.050000000000000044,0.6,44.85,16303,-487,16886,0,17-Dec-2024 12:26:20
NIFTY,24366.4,17-Dec-2024 12:26:20,0,0,0,0,0.0,0.0,0.0,1000,2056.45,2266.3,1000,22250.0,14650,0.6,0.65,20800,-0.050000000000000044,0.6,43.87,8824,1200,4274,0,17-Dec-2024 12:26:20
NIFTY,24366.4,17-Dec-2024 12:26:20,0,33,0,0,0.0,0.0,0.0,1000,2089.5,2204.7,1000,22300.0,327575,0.6,0.65,99775,0.0,0.65,42.89,29662,1373,14693,0,17-Dec-2024 12:26:20
NIFTY,24366.4,17-Dec-2024 12:26:20,0,0,0,0,0.0,0.0,0.0,1000,2015.15,2123.35,1000,22350.0,11625,0.6,0.65,14575,0.0,0.65,41.91,25604,4082,5775,0,17-Dec-2024 12:26:20
NIFTY,24366.4,17-Dec-2024 12:26:20,0,31,4,8,107.61,2114.6,-194.3499999999999,1300,1958.4,2031.15,25,22400.0,43350,0.7,0.75,28125,0.050000000000000044,0.75,41.28,50518,2635,17617,0,17-Dec-2024 12:26:20
NIFTY,24366.4,17-Dec-2024 12:26:20,0,0,0,1,0.0,1981.55,681.95,1000,1877.2,1981.5,1000,22450.0,14675,0.65,0.7,22100,0.0,0.7,40.29,48814,3596,5638,0,17-Dec-2024 12:26:20
NIFTY,24366.4,17-Dec-2024 12:26:20,0,236,-18,25,58.49,1880.95,-318.04999999999995,75,1905.4,1938.35,1000,22500.0,78975,0.75,0.8,102125,0.050000000000000044,0.8,39.91,191221,3197,103500,0,17-Dec-2024 12:26:20
NIFTY,24366.4,17-Dec-2024 12:26:20,0,0,0,0,0.0,0.0,0.0,1000,1746.65,1961.6,1000,22550.0,21250,0.7,0.75,44350,0.050000000000000044,0.75,38.32,25529,2774,6395,0,17-Dec-2024 12:26:20
NIFTY,24366.4,17-Dec-2024 12:26:20,0,36,-4,11,55.29,1810.0,-192.20000000000005,200,1804.8,1820.25,100,22600.0,22400,0.75,0.8,69500,0.10000000000000009,0.8,37.63,69188,3487,22074,0,17-Dec-2024 12:26:20
