Stock,LTP,CronTime,CALLS_Chart,CALLS_OI,CALLS_Chng in OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Net Chng,CALLS_Bid Qty,CALLS_Bid Price,CALLS_Ask Price,CALLS_Ask Qty,Strike Price,PUTS_Bid Qty,PUTS_Bid Price,PUTS_Ask Price,PUTS_Ask Qty,PUTS_Net Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Chng in OI,PUTS_OI,PUTS_Chart,time_stamp
BANKNIFTY,51168.25,02-Jan-2025 12:08:20,0,58,0,0,0.0,0.0,0.0,150,8763.85,9000.0,45,42500.0,12180,4.55,4.6,25905,0.09999999999999964,4.55,26.57,46662,-654,63424,0,02-Jan-2025 12:08:20
BANKNIFTY,51168.25,02-Jan-2025 12:08:20,0,2148,-5,9,0.0,8370.0,-100.89999999999964,30,8315.6,8466.55,15,43000.0,4755,4.85,4.9,390,0.15000000000000036,4.9,25.29,27897,-922,55304,0,02-Jan-2025 12:08:20
BANKNIFTY,51168.25,02-Jan-2025 12:08:20,0,13,0,0,0.0,0.0,0.0,150,7782.2,8124.85,150,43500.0,1020,5.75,5.8,615,0.2999999999999998,5.75,24.3,27719,-1166,72012,0,02-Jan-2025 12:08:20
BANKNIFTY,51168.25,02-Jan-2025 12:08:20,0,89,0,0,0.0,0.0,0.0,150,7289.9,7608.8,150,44000.0,810,8.45,8.55,1050,0.09999999999999964,8.45,23.88,17075,1962,22254,0,02-Jan-2025 12:08:20
BANKNIFTY,51168.25,02-Jan-2025 12:08:20,0,0,0,0,0.0,0.0,0.0,150,6797.1,7126.5,150,44500.0,1950,10.65,10.75,1200,0.09999999999999964,10.7,23.03,14951,1174,15385,0,02-Jan-2025 12:08:20
BANKNIFTY,51168.25,02-Jan-2025 12:08:20,0,2582,-6,9,0.0,6491.55,132.55000000000018,15,6376.4,6469.95,45,45000.0,960,13.95,14.05,135,0.0,14.0,22.3,39948,1591,43873,0,02-Jan-2025 12:08:20
BANKNIFTY,51168.25,02-Jan-2025 12:08:20,0,0,0,0,0.0,0.0,0.0,90,5817.1,6077.35,150,45500.0,555,17.5,17.65,300,-0.09999999999999787,17.55,21.39,21321,-2265,12169,0,02-Jan-2025 12:08:20
BANKNIFTY,51168.25,02-Jan-2025 12:08:20,0,1120,0,1,21.58,5550.0,181.05000000000018,15,5399.2,5484.0,60,46000.0,345,24.25,24.4,240,-0.4499999999999993,24.25,20.78,41170,3496,46720,0,02-Jan-2025 12:08:20
BANKNIFTY,51168.25,02-Jan-2025 12:08:20,0,22,0,0,0.0,0.0,0.0,90,4831.65,5100.4,150,46500.0,240,34.0,34.2,90,-0.19999999999999574,34.1,20.2,42398,4060,48346,0,02-Jan-2025 12:08:20
BANKNIFTY,51168.25,02-Jan-2025 12:08:20,0,4217,438,456,0.0,4461.95,33.25,450,4451.7,4479.4,165,47000.0,240,49.75,49.9,15,-0.10000000000000142,49.9,19.8,55266,3663,71731,0,02-Jan-2025 12:08:20
BANKNIFTY,51168.25,02-Jan-2025 12:08:20,0,0,0,0,0.0,0.0,0.0,150,4222.55,4546.1,150,47100.0,135,53.25,53.55,45,0.20000000000000284,53.35,19.72,8888,-1548,3072,0,02-Jan-2025 12:08:20
BANKNIFTY,51168.25,02-Jan-2025 12:08:20,0,0,0,0,0.0,0.0,0.0,150,4130.6,4451.5,150,47200.0,1035,57.6,58.05,600,-0.4000000000000057,57.8,19.67,9570,1020,9100,0,02-Jan-2025 12:08:20
BANKNIFTY,51168.25,02-Jan-2025 12:08:20,0,0,0,0,0.0,0.0,0.0,375,4048.2,4367.2,150,47300.0,195,61.25,62.0,315,-0.5,61.65,19.48,8911,-54,1800,0,02-Jan-2025 12:08:20
BANKNIFTY,51168.25,02-Jan-2025 12:08:20,0,0,0,0,0.0,0.0,0.0,150,3940.7,4248.1,150,47400.0,210,65.95,66.7,285,-0.14999999999999147,66.4,19.47,8207,382,2295,0,02-Jan-2025 12:08:20
BANKNIFTY,51168.25,02-Jan-2025 12:08:20,0,152,0,2,0.0,3940.1,-0.75,30,3967.95,4029.55,30,47500.0,180,71.2,71.45,210,0.45000000000000284,71.3,19.36,68033,-1252,39834,0,02-Jan-2025 12:08:20
BANKNIFTY,51168.25,02-Jan-2025 12:08:20,0,0,0,0,0.0,0.0,0.0,150,3752.9,4077.55,150,47600.0,90,76.55,77.25,435,1.6500000000000057,76.95,19.27,16234,-4423,2035,0,02-Jan-2025 12:08:20
BANKNIFTY,51168.25,02-Jan-2025 12:08:20,0,0,0,0,0.0,0.0,0.0,150,3660.8,3981.3,150,47700.0,105,82.2,82.9,330,0.45000000000000284,82.45,19.21,7085,19,5460,0,02-Jan-2025 12:08:20
BANKNIFTY,51168.25,02-Jan-2025 12:08:20,0,0,0,0,0.0,0.0,0.0,15,3636.95,3803.15,30,47800.0,105,88.75,89.45,75,1.3499999999999943,89.6,19.18,7104,-393,3111,0,02-Jan-2025 12:08:20
BANKNIFTY,51168.25,02-Jan-2025 12:08:20,0,0,0,0,0.0,0.0,0.0,150,3476.5,3780.85,150,47900.0,60,95.4,96.05,300,1.7999999999999972,95.6,19.05,10894,614,5994,0,02-Jan-2025 12:08:20
BANKNIFTY,51168.25,02-Jan-2025 12:08:20,0,3083,-63,177,0.0,3500.0,-7.75,495,3508.65,3545.95,15,48000.0,75,102.7,103.25,210,1.2000000000000028,103.0,18.98,65344,6391,69375,0,02-Jan-2025 12:08:20
BANKNIFTY,51168.25,02-Jan-2025 12:08:20,0,389,0,0,0.0,0.0,0.0,150,3299.0,3609.65,150,48100.0,210,109.8,110.85,225,1.5499999999999972,110.75,18.89,8386,554,2919,0,02-Jan-2025 12:08:20
BANKNIFTY,51168.25,02-Jan-2025 12:08:20,0,9,0,0,0.0,0.0,0.0,150,3238.25,3517.45,165,48200.0,45,118.0,119.2,450,0.5,117.5,18.82,6723,57,4395,0,02-Jan-2025 12:08:20
BANKNIFTY,51168.25,02-Jan-2025 12:08:20,0,0,0,0,0.0,0.0,0.0,90,3117.0,3424.55,150,48300.0,30,127.2,128.0,150,2.1499999999999915,127.55,18.79,6901,654,3654,0,02-Jan-2025 12:08:20
